Accession,Lable
GSM1437801,0
GSM1437802,0
GSM1437803,0
GSM1437804,0
GSM1437805,0
GSM1437806,0
GSM1437807,0
GSM1437808,0
GSM1437809,1
GSM1437810,1
GSM1437811,0
GSM1437812,0
GSM1437813,0
GSM1437814,0
GSM1437815,0
GSM1437816,0
GSM1437817,0
GSM1437818,0
GSM1437819,0
GSM1437820,0
GSM1437821,0
GSM1437822,0
GSM1437823,0
GSM1437824,0
GSM1437825,0
GSM1437826,0
GSM1437827,0
GSM1437828,0
GSM1437829,0
GSM1437830,0
GSM1437831,1
GSM1437832,0
GSM1437833,0
GSM1437834,0
GSM1437835,0
GSM1437836,0
GSM1437837,0
GSM1437838,0
GSM1437839,0
GSM1437840,0
GSM1437841,0
GSM1437842,0
GSM1437843,0
GSM1437844,1
GSM1437845,1
GSM1437846,0
GSM1437847,0
GSM1437848,0
GSM1437849,0
GSM1437850,0
GSM1437851,0
GSM1437852,0
GSM1437853,0
GSM1437854,0
GSM1437855,0
GSM1437856,1
GSM1437857,1
GSM1437858,0
GSM1437859,0
GSM1437860,1
GSM1437861,1
GSM1437862,0
GSM1437863,0
GSM1437864,0
GSM1437865,0
GSM1437866,0
GSM1437867,0
GSM1437868,0
GSM1437869,0
GSM1437870,0
GSM1437871,0
GSM1437872,0
GSM1437873,0
GSM1437874,0
GSM1437875,0
GSM1437876,0
GSM1437877,0
GSM1437878,1
GSM1437879,1
GSM1437880,1
GSM1437881,0
GSM1437882,0
GSM1437883,0
GSM1437884,0
GSM1437885,1
GSM1437886,1
GSM1437887,1
GSM1437888,1
GSM1437889,0
GSM1437890,0
GSM1437891,0
GSM1437892,0
GSM1437893,1
GSM1437894,1
GSM1437895,0
GSM1437896,0
GSM1437897,1
GSM1437898,1
GSM1437899,0
GSM1437900,0
GSM1437901,0
GSM1437902,0
GSM1437903,0
GSM1437904,0
GSM1437905,0
GSM1437906,0
GSM1437907,1
GSM1437908,1
GSM1437909,1
GSM1437910,1
GSM1437911,0
GSM1437912,0
GSM1437913,0
GSM1437914,0
GSM1437915,0
GSM1437916,0
GSM1437917,0
GSM1437918,0
GSM1437919,0
GSM1437920,0
GSM1437921,1
GSM1437922,0
GSM1437923,0
GSM1437924,0
GSM1437925,0
GSM1437926,1
GSM1437927,1
GSM1437928,0
GSM1437929,0
GSM1437930,0
GSM1437931,0
GSM1437932,0
GSM1437933,0
GSM1437934,0
GSM1437935,0
GSM1437936,1
GSM1437937,1
GSM1437938,0
GSM1437939,0
GSM1437940,0
GSM1437941,0
GSM1437942,1
GSM1437943,1
GSM1437944,1
GSM1437945,1
GSM1437946,1
GSM1437947,0
GSM1437948,0
GSM1437949,0
GSM1437950,0
GSM1437951,1
GSM1437952,1
GSM1437953,0
GSM1437954,0
GSM1437955,0
GSM1437956,0
GSM1437957,0
GSM1437958,0
GSM1437959,1
GSM1437960,1
GSM1437961,0
GSM1437962,0
GSM1437963,0
GSM1437964,0
GSM1437965,0
GSM1437966,0
GSM1437967,1
GSM1437968,1
GSM1437969,0
GSM1437970,0
GSM1437971,0
GSM1437972,0
GSM1437973,0
GSM1437974,0
GSM1437975,0
GSM1437976,0
GSM1437977,1
GSM1437978,1
GSM1437979,1
GSM1437980,1
GSM1437981,0
GSM1437982,0
GSM1437983,0
GSM1437984,0
GSM1437985,1
GSM1437986,1
GSM1437987,0
GSM1437988,0
GSM1437989,0
GSM1437990,0
GSM1437991,1
GSM1437992,1
GSM1437993,0
GSM1437994,0
GSM1437995,0
